total_cases,total_deaths,people_fully_vaccinated,reproduction_rate
153534.0,7141.0,975903.3604651162,0.83
153626.0,7144.0,1007971.5581395349,0.85
153736.0,7151.0,1040039.7558139535,0.86
153840.0,7157.0,1072107.953488372,0.86
153962.0,7164.0,1104176.1511627906,0.87
153982.0,7167.0,1136244.3488372094,0.87
153990.0,7167.0,1168312.5465116277,0.88
154094.0,7169.0,1200380.7441860465,0.88
154180.0,7171.0,1232448.941860465,0.88
154283.0,7174.0,1264517.1395348837,0.89
154361.0,7183.0,1296585.3372093022,0.89
154487.0,7186.0,1328653.5348837208,0.89
154487.0,7186.0,1360721.7325581396,0.89
154487.0,7186.0,1392789.930232558,0.88
154585.0,7199.0,1424858.1279069767,0.89
154712.0,7199.0,1456926.3255813953,0.89
154757.0,7199.0,1488994.5232558139,0.88
154800.0,7199.0,1521062.7209302324,0.88
154960.0,7199.0,1553130.918604651,0.88
154960.0,7199.0,1585199.1162790698,0.87
154960.0,7199.0,1617267.3139534884,0.87
155072.0,7200.0,1649335.511627907,0.87
155093.0,7201.0,1681403.7093023255,0.86
155128.0,7204.0,1713471.906976744,0.86
155174.0,7204.0,1745540.1046511626,0.86
155191.0,7206.0,1777608.3023255814,0.86
155191.0,7206.0,1809676.5,0.87
155191.0,7206.0,1841744.6976744186,0.88
155287.0,7212.0,1873812.8953488371,0.89
155309.0,7214.0,1905881.0930232557,0.89
155380.0,7220.0,1937949.2906976743,0.9
155429.0,7221.0,1970017.488372093,0.9
155448.0,7221.0,2002085.6860465116,0.9
155466.0,7221.0,2034153.8837209302,0.9
155508.0,7225.0,2066222.0813953488,0.91
155540.0,7228.0,2098290.2790697673,0.91
155599.0,7230.0,2130358.476744186,0.92
155627.0,7234.0,2162426.6744186045,0.92
155682.0,7238.0,2194494.8720930233,0.92
155688.0,7238.0,2226563.0697674416,0.93
155739.0,7238.0,2258631.2674418604,0.93
155764.0,7243.0,2290699.465116279,0.93
155776.0,7246.0,2322767.6627906975,0.94
155801.0,7247.0,2354835.860465116,0.94
155859.0,7247.0,2386904.0581395347,0.95
155891.0,7249.0,2418972.2558139535,0.96
155931.0,7252.0,2451040.4534883723,0.96
155940.0,7253.0,2483108.6511627906,0.97
155944.0,7255.0,2515176.848837209,0.97
156040.0,7260.0,2547245.0465116277,0.98
